rang,ime,leto,opis,ocena_strani,povprecna_ocena,stevilo_glasov
518,Mystic Vale,2016,Restore growth and harmony to the cursed Valley of Life through card crafting.,6.955,7.25,11972
519,Zombicide: 2nd Edition,2021,The ultimate zombie game made reality. Don&#039;t get surrounded!,6.954,7.98,3937
520,Point Salad,2019,Collect groupings of fruits and vegetables with loads of ways to score points!,6.954,7.14,19994
521,Citadels,2016,Thief? King? Warlord? Draft the best temporary roles in this kingdom building game.,6.953,7.25,14572
522,Stuffed Fables,2018,"Live the story of a child&#039;s stuffed toys, saving her from monsters under the bed.",6.953,7.45,7480
523,Zombie Kidz Evolution,2018,Save the school from a cartoonish zombie horde. Unlock fun new content as you play!,6.952,7.61,5265
524,Fantastic Factories,2019,Build factories! Train your workers! Manufacture as many goods as possible!,6.949,7.43,6822
525,MicroMacro: Crime City – Full House,2021,Find the small traces to solve the big cases.,6.948,7.67,4274
526,Undaunted: North Africa,2020,Lead a team of desert commandos in a WWII multi-scenario deck builder with vehicles.,6.947,7.8,3949
527,Bohnanza,1997,"Farm beans, harvest crops and trade your way to fortune in this card game classic.",6.946,7.06,47284
528,Unmatched: Little Red Riding Hood vs. Beowulf,2020,She survived the Big Bad Wolf. Can Little Red defeat Beowulf?,6.944,8.14,2876
529,Canvas,2021,Artistically layer your paintings to create a masterpiece and win the Best in Show!,6.944,7.25,12814
530,Amerigo,2013,"Discover islands, build settlements, and uncover goods and treasure.",6.942,7.44,6234
531,Citadels,2000,"Bishop, warlord, thief, king: change roles, build your city and hinder your rivals.",6.942,7.06,54986
532,Amun-Re,2003,"As Pharaoh buy land, trade and build pyramids to your greatness in this Knizia gem!",6.941,7.29,9328
533,BattleLore,2006,"Battle through a Hundred Years War with magic, Goblins, and more.",6.94,7.35,9378
534,High Society,1995,Enhance your status via ostentatious expenditure but avoid scandal and shame.,6.94,7.17,14103
535,Lords of Vegas,2010,"Build, expand, and take over casinos to get big profits and big points.",6.94,7.35,7684
536,Shadows over Camelot,2005,Loyal knights unite to save Camelot while a traitor secretly plots their doom.,6.938,7.1,27784
537,Pandemic: The Cure,2014,Roll dice to defeat four diseases threatening the world.,6.936,7.24,10751
538,Exit: The Game – Dead Man on the Orient Express,2017,Classic murder mystery meets escape room in this full steam ahead puzzle game.,6.936,7.55,5088
539,Friday,2011,Only Friday can help Robinson Crusoe survive the hazards of this deserted island.,6.935,7.12,21630
540,Junk Art,2016,Travel the world and create balanced masterpieces from eccentric pieces.,6.935,7.37,7703
541,Deus,2014,Develop your civilization and repeat your advancements in this engine-builder.,6.935,7.28,9190
542,Hanabi,2010,Give hints to create sets of fireworks and try to avoid a pyrotechnical disaster.,6.935,7.04,48965
543,Sheriff of Nottingham,2014,"Sell goods for profit, or risk losing it all by slipping contrabands in....",6.934,7.07,36040
544,Potion Explosion,2015,Collect and combine ingredients to mix potions and try to become Student of The Year.,6.933,7.13,19842
545,Forbidden Desert,2013,Work together to escape the desert before sand buries you or your supplies run dry.,6.932,7.07,31261
546,Betrayal Legacy,2018,Experience the stories locals have told for generations about that spooky old house.,6.931,7.68,4942
547,Mansions of Madness,2011,"Spectral horrors and monstrosities await! Will you defeat them, or be driven mad?",6.93,7.26,13751
548,Oceans,2020,Adapt in a continually changing ecosystem in this interactive engine builder.,6.93,7.44,6768
549,Blood Bowl (Third Edition),1994,Fantasy characters turn the gridiron into a bloody battlefield.,6.929,7.55,5641
550,Risk Legacy,2011,Leave your mark on an ever changing world full of surprises as you vie for dominance.,6.929,7.36,8572
551,Charterstone,2017,Witness your city flourish and the board change forever as you play.,6.928,7.21,14792
552,Descent: Journeys in the Dark,2005,Heroes band together to defeat the Overlord and his minions in epic dungeon battles.,6.928,7.28,11798
553,Trekking Through History,2022,Time travel to some of the greatest moments in human history.,6.924,7.62,4549
554,Imhotep,2016,"Gather, ship, and lay stones to build the most magnificent monuments in Egypt.",6.922,7.14,15892
555,Shadows of Brimstone: City of the Ancients,2014,Co-op dungeon crawl the monster-ridden Old West mines and frozen Targa otherworld.,6.922,7.95,3964
556,CATAN,1995,Collect and trade resources to build up the island of Catan in this modern classic.,6.919,7.1,129381
557,"Unmatched: Battle of Legends, Volume Two",2021,"More heroes, more sidekicks, more legends, more fights!",6.918,8.28,2460
558,Raptor,2015,Elude or chomp humans as the mama raptor; neutralize her offspring as the scientists.,6.918,7.24,10321
559,Railroad Ink: Deep Blue Edition,2018,Build a network of rails and roads through a watery landscape.,6.918,7.18,13307
560,Thurn and Taxis,2006,Seek help from postal officials to build your delivery routes across Central Europe.,6.917,7.09,20143
561,Argent: The Consortium,2015,Convince a shadow Council that you&#039;d be the best Chancellor of Argent&#039;s University.,6.917,7.63,4380
562,Unsettled,2021,A cooperative survival game in the bizarre and wondrous reaches of deep space.,6.916,8.12,2754
563,Blood Bowl: Living Rulebook,2004,Description is not provided.,6.916,7.85,3441
564,"Labyrinth: The War on Terror, 2001 – ?",2010,Jihad is no longer a world away. Can the West react in time to win the war on terror?,6.915,7.57,5000
565,Massive Darkness 2: Hellscape,2022,"To stop the Darkness, you&#039;ll have to descend to a place light has never touched.",6.913,8.06,3069
566,Aquatica,2019,Recruit heroes and conquer locations in a race to expand your kingdom under the sea.,6.912,7.37,6679
567,1846: The Race for the Midwest,2005,"Finance, build, and run railways in the American Midwest.",6.912,7.91,2987
568,1775: Rebellion,2013,Four sides maneuver &amp; battle to control colonies in America&#039;s War for Independence.,6.911,7.63,4312
569,Through the Desert,1998,Carve up the desert in a race to establish your oasis empire.,6.911,7.13,14548
570,Escape Plan,2019,"Escape the city, but don&#039;t forget to grab your loot on the way out!",6.91,7.51,5347
571,Port Royal,2014,"Trade with ships, hire crew, and gain influence in the pirate haven of Port Royal.",6.909,7.12,17785
572,Alhambra,2003,Compete to build the most valuable picturesque walled city in 13th-century Granada.,6.907,7.03,33836
573,Freedom: The Underground Railroad,2013,Join fellow abolitionists to emancipate slaves and lead them to freedom in Canada.,6.906,7.58,4505
574,Star Wars: X-Wing (Second Edition),2018,"Form a squadron, plan its moves, take actions and engage the enemy in a dog fight.",6.906,8.04,3099
575,QE,2019,"Bid ANYTHING to bail out companies, but just don’t bid the MOST!",6.905,7.38,6292
576,Blackout: Hong Kong,2018,Manage ever-changing resources &amp; a network of various specialists to save Hong Kong!,6.904,7.43,5982
577,Ingenious,2004,Place hexagonal tiles to score lines of colors.,6.903,7.1,17309
578,Small World Underground,2011,"Mummies, Mudmen and more! Battle it out with new maps, new races, and new powers.",6.903,7.23,11102
579,Etherfields,2020,Discover a series of unique Dreams through tense exploration and tactical encounters.,6.9,7.93,4044
580,Feed the Kraken,2022,"Social deduction - Loyal sailors, ruthless pirates, crazy cultists and... The Kraken!",6.899,7.86,3618
581,Fleet: The Dice Game,2018,Deploy your fleet of fishing boats while developing your bustling harbor.,6.898,7.64,4076
582,Faraway,2023,Explore a mysterious land and fulfill quests on your way back.,6.898,7.58,4746
583,Keep the Heroes Out!,2022,"As monsters, work together to defend your dungeon against so-called heroes.",6.897,8.0,3132
584,Love Letter: Premium Edition,2016,Navigate the intrigue and politics of the court to earn favour with the princess.,6.897,7.44,6026
585,First Class: All Aboard the Orient Express!,2016,Players draft to run the most luxurious rail line and solve murders!,6.895,7.42,5759
586,Nova Luna,2019,"Draft tiles to complete adjacency combos in this beautiful, abstract tableau builder.",6.895,7.28,8689
587,TZAAR,2007,Capture all of an opponent&#039;s type of pieces or make them unable to capture yours.,6.895,7.66,3895
588,The Grizzled,2015,"With paltry resources and limited luck, your group must survive WWI in the trenches.",6.894,7.13,14865
589,Runebound (Third Edition),2015,Adventure across Terrinoth acquiring skills and items to defeat the great villain.,6.893,7.48,6282
590,Las Vegas,2012,Win the payout from various casinos by placing the most dice on them.,6.892,7.17,11531
591,Camel Up,2014,Which camel will win? Place your bets in this zany family friendly camel racing game.,6.891,7.04,27432
592,Wabash Cannonball,2007,Build track and buy stock to get the most money in this railroad race to Chicago.,6.891,7.25,8390
593,Libertalia,2012,Scurvy pirate crews try to divide loot for glory and riches.,6.891,7.12,14302
594,RoboRally,1994,Use pre-programmed movement cards to race your robot around a hazardous factory.,6.89,7.05,23971
595,London,2010,"Draft cards, avoid debt, and run your industrial engine to rebuild London.",6.89,7.33,6591
596,The Fox in the Forest,2017,"In this trick-taking game for 2, you must win more than your rival—but not too much!",6.89,7.1,16097
597,Sushi Go!,2013,"Pass the sushi around, but keep the best for yourself. Save room for dessert!",6.89,7.0,47683
598,Discworld: Ankh-Morpork,2011,Control the comic fantasy city peopled by iconic characters menaced by wizard magic.,6.888,7.25,10523
599,Unfathomable,2021,Traitors and Terror. Immerse yourself among the passengers and crew of SS Atlantica.,6.888,7.51,5574
600,Airlines Europe,2011,Expand airlines across Europe to make your investments pay off.,6.887,7.3,7449
601,Legends of Andor,2012,A group of heroes carefully executes the defense of a besieged kingdom.,6.887,7.11,19487
602,Elysium,2015,"Create mighty combinations, write epic legends, and earn the favour of the Gods.",6.884,7.2,9836
603,Atlantis Rising (Second Edition),2019,Atlantis is sinking. Can you work together to build your escape before it&#039;s lost?,6.884,7.54,4688
604,Valeria: Card Kingdoms,2016,"Use magic, money, and might to recruit citizens, defeat monsters, and conquer lands.",6.884,7.45,5897
605,Archipelago,2012,Settlers work together and compete for resources to survive the new world.,6.883,7.28,8289
606,Last Will,2011,Spend all your money the fastest to inherit loads more in this rich card game.,6.882,7.17,10522
607,Splendor: Marvel,2020,Race to be the first to collect all infinity stones and get the Infinity Gauntlet.,6.881,7.58,4952
608,Euphoria: Build a Better Dystopia,2013,Place worker dice strategically to build your authority and take over a dystopia.,6.88,7.18,10981
609,In the Hall of the Mountain King,2019,"Lead a band of trolls to excavate their mountain home, erecting statues for glory.",6.88,7.6,4541
610,For Northwood! A Solo Trick-Taking Game,2021,Woodland rulers engage in debate in this tactical solo trick-taking game.,6.88,7.93,2916
611,Legacy of Yu,2023,"Build the canals, repel the barbarians, and rise to fame as Yu the Great!",6.88,8.19,2342
612,Jamaica,2007,Race around Jamaica to claim its spoils. Beware! The fastest doesn&#039;t always win!,6.879,7.06,20647
613,Vikings,2007,Different-colored Vikings have different responsibilities. Which do you need most?,6.879,7.24,8531
614,Karuba,2015,"Forge a path through the jungle, pick up gems along the way and reach the temples.",6.879,7.17,11135
615,Madeira,2013,"Please the crown, feed your people, thrive; all without resorting to piracy—too often",6.879,7.54,4511
616,Dinosaur Island: Rawr 'n Write,2021,Draw the most exciting dinosaur theme park known to humankind.,6.878,7.72,3716
617,One Night Ultimate Werewolf,2014,An app-driven Werewolf that lasts but a single night. Wolves and villagers beware!,6.878,7.05,28253
618,Time's Up! Title Recall!,2008,Your teammates must guess titles of books and more while clues become more limited.,6.877,7.68,3623
619,Regicide,2020,Work together as brave adventurers to defeat the corrupted monarchy.,6.875,7.43,5810
620,StarCraft: The Board Game,2007,Place secret orders to outmaneuver your opponents and gain control of key locations.,6.874,7.36,7594
621,Taj Mahal,2000,Appeal to members of the Indian court in order to build your palaces and claim goods.,6.874,7.27,7889
622,Space Empires 4X,2011,Venture in the vast space with your fleet to make your empire prevail in the galaxy.,6.873,7.68,3937
623,Tales of the Arabian Nights,2009,Experience intriguing Arabian legends while competing to find your story and destiny.,6.873,7.17,12752
624,Sentinels of the Multiverse,2011,A diverse cast of superheroes work together to foil the plans of evil villains.,6.873,7.14,16107
625,DVONN,2001,Avoid being disconnected from the three DVONN pieces on an ever-shrinking board.,6.871,7.45,5319
626,Lacrimosa,2022,Participate in the completion of Wolfgang Amadeus Mozart&#039;s last piece: the Requiem.,6.871,7.69,3773
627,Galaxy Trucker (Second Edition),2021,Have fun watching fellow players&#039; ships explode as you fly on to victory.,6.869,7.47,5076
628,Pax Porfiriana,2012,"Build business empire of ranches, mines, rails, troops and banks in Porfirio Díaz era",6.866,7.66,3755
629,Baseball Highlights: 2045,2015,"Build a championship baseball team filled with Naturals, Cyborgs, and Robots.",6.865,7.52,4602
630,Draftosaurus,2019,A dinosaur park will always attract tourists – if you can place your species right.,6.864,7.1,14402
631,Carcassonne: Hunters and Gatherers,2002,"Hunt, fish, and gather in this Stone Age version of the tile-laying classic.",6.863,7.13,13123
632,Queendomino,2017,"Build a tile queendom independently, or mix with Kingdomino for more players and fun.",6.862,7.15,11065
633,Pathfinder Adventure Card Game: Rise of the Runelords – Base Set,2013,Level up your party in this card-and-dice fantasy campaign set in the land of Varisa.,6.862,7.17,12768
634,Roads & Boats,1999,Develop a logistical network from pack animals to the stock market.,6.862,7.7,3432
635,Broom Service,2015,Collect ingredients and deliver valuable potions by outguessing your opponents.,6.861,7.16,10545
636,Star Trek: Ascendancy,2016,"Romulans, Klingons, and Federation compete for galactic supremacy.",6.861,7.82,3619
637,Nexus Ops,2005,Mining corporations fight for territory on a planet crawling with hostile aliens.,6.861,7.21,8923
638,Skymines,2022,Mine the Moon and invest in promising companies to make yourself a fortune.,6.86,8.0,2613
639,Colosseum,2007,As a Roman Impresario you must stage the greatest spectacles the Colosseum has seen!,6.86,7.2,9029
640,Egizia,2009,Struggle against the Nile&#039;s current to construct Egypt&#039;s iconic monuments.,6.86,7.39,5477
641,Vinhos,2010,"Build a prestigious winery with sales, exports, tastings &amp; helpful influencers.",6.859,7.47,4930
642,BattleCON: Devastation of Indines,2013,Fight head-to-head with thirty characters in this card-based brawler.,6.859,7.82,3323
643,World Wonders,2023,"Buy tiles, manage resources and place wonder tokens to build your own Ancient City.",6.858,7.66,3973
644,Next Station: London,2022,Draw tube lines to cross the Thames and connect London.,6.857,7.46,5006
645,Dice Throne: Season One,2018,Roll dice to trigger skills and defeat your opponents.,6.857,7.51,6007
646,Triumph & Tragedy: European Balance of Power 1936-1945,2015,"European struggle between communist, fascist, and capitalist systems during 1936-1945",6.855,8.15,2383
647,Unlock!: Heroic Adventures,2018,Escape room scenarios: Sherlock Holmes; Insert Coin; In Pursuit of the White Rabbit.,6.853,7.62,3810
648,AquaSphere,2014,Coordinate programmers and scientists to gather data from the depths of the Ocean.,6.853,7.26,7455
649,Crusaders: Thy Will Be Done,2018,"Convert the locals, build churches &amp; banks and spread the influence of your order.",6.851,7.48,4656
650,Tobago,2009,Determine the location of a hidden treasure and race your opponents to it.,6.849,7.1,12221
651,The Colonists,2016,"Build up your village in this epic, generation-spanning resource-management game.",6.849,7.55,4247
652,Warp's Edge,2020,You are alone: power up your ship to fight against a swarm of enemies.,6.848,7.71,3523
653,The Vale of Eternity,2023,Tame a variety of mythical creatures to gain their powers.,6.847,7.63,3914
654,Weather Machine,2022,Leverage research and lab experience to address extreme weather facing the world.,6.846,7.8,3318
655,Paperback,2014,Deck-building game where the cards are letters. Spell words to earn money and points!,6.845,7.12,10948
656,Kutná Hora: The City of Silver,2023,"Smelt precious silver, develop a medieval city, but mind the ever-changing economy!",6.845,7.81,3288
657,Cooper Island,2019,Develop your peninsula and sail as far as you can around the island.,6.845,7.58,4059
658,Azul: Queen's Garden,2021,Create the perfect garden patterns for Queen Maria of Aragon.,6.845,7.49,4927
659,Aeon Trespass: Odyssey,2022,"Tame the Titans! Arm, evolve and pilot them to battle against the Primordials.",6.844,9.03,2269
660,Coup,2012,Bluff (and call bluffs!) to victory in this card game with no third chances.,6.843,6.98,47388
661,Take 5,1994,"Choose sequential cards for rows simultaneously, but avoid adding the 6th card!",6.842,6.97,29597
662,Detective: City of Angels,2019,Do whatever it takes to close the case in dark and violent 1940s Los Angeles.,6.841,7.89,2856
663,Struggle of Empires,2004,"Form alliances, explore the new world, and conquer your enemies to create an empire.",6.84,7.54,4267
664,Cuba Libre,2013,Play as one of four factions vying for control of Cuba in card-driven COIN Vol:2.,6.84,7.68,3494
665,Bus,1999,Expand your bus line and maybe bend time in this worker placement classic!,6.84,7.61,3653
666,Shards of Infinity,2018,Grow your Mastery and expand your armies. Unlock the potential hidden in your cards.,6.84,7.47,5042
667,Silver & Gold,2019,"Flip cards, complete islands and score points in this Flip &#039;n&#039; Write.",6.84,7.2,8221
668,Creature Comforts,2022,Winter is coming – prepare your burrow so you and your family can be comfy cozy!,6.838,7.47,5223
669,Project: ELITE,2020,Soldiers fight together against waves of terrifying aliens in real time.,6.834,7.97,2648
670,My Father's Work,2022,Continue the work of a mad scientist over the course of three generations.,6.834,7.88,3010
671,Unmatched: Jurassic Park – InGen vs Raptors,2020,"Hold onto your butts, it&#039;s dinos vs. the world&#039;s greatest hunter.",6.833,8.13,2427
672,Automobile,2009,"Relive automotive history through research, production, and sale of classic cars.",6.833,7.33,5794
673,HeroQuest,1989,Explore dungeons and complete quests in this RPG-inspired fantasy adventure.,6.831,7.21,13949
674,Coloretto,2003,"Collect colorful chameleons, but be careful! Don&#039;t take too many types.",6.827,6.98,21479
675,Francis Drake,2013,"Privateers wrangle to fit out in port, then set sail for adventure in the Caribbean.",6.827,7.38,5255
676,Carson City,2009,"Buy land, build buildings &amp; roads, protect your income and buy some points.",6.825,7.21,7296
677,Evolution,2014,Adapt in an ever-changing ecosystem where food is scarce and predators lurk.,6.824,7.04,17079
678,Horizons of Spirit Island,2022,Island Spirits join forces using elemental powers to defend their home from invaders.,6.823,8.21,2132
679,The Battle of Five Armies,2014,"The Climactic Battle of the Hobbit, by the team that brought you War of the Ring!",6.823,7.86,2968
680,A Game of Thrones,2003,Make alliances—and break them!—as you strive to both unite and conquer Westeros.,6.823,7.17,10619
681,Whitehall Mystery,2017,Work together to chase a hidden killer through the foggy streets of Victorian London.,6.822,7.53,4170
682,Medici,1995,Rival merchant families seek profitable markets in 16th century Florence.,6.822,7.18,8358
683,Thebes,2007,"Become an archaeologist as you study ancient cultures, go digging, and exhibit.",6.821,7.13,9963
684,Conan,2016,Become the Overlord or play as Conan and his companions in this action-packed game!,6.82,7.64,4655
685,Zombicide,2012,Work together to kill zombies! Improve skills! Then kill more zombies!,6.819,7.1,18976
686,Hammer of the Scots,2002,William Wallace clashes with England to determine the fate of 13th-century Scotland.,6.818,7.53,4158
687,Star Wars: Destiny,2016,"Duel with teams of heroes and villains from the galaxy far, far away.",6.818,7.44,5498
688,Unmatched Adventures: Tales to Amaze,2023,Team up in Unmatched to take down the Mothman or Martian Invader.,6.818,8.12,2409
689,Zombicide: Green Horde,2018,"Fight infected orcs and goblins amidst hedges, flooded streets and heavy artillery.",6.817,7.69,4319
690,Gears of War: The Board Game,2011,"Be a COG soldier, fighting the Locust against all odds in a final desperate stand.",6.817,7.47,5124
691,Quantum,2013,Puzzle your way to victory through clever positioning to dominate the galaxy.,6.813,7.23,7652
692,Pagan: Fate of Roanoke,2022,Witch and Hunter duel for the fate of Roanoke in an asymmetrical deduction card game.,6.811,8.04,2442
693,A Game of Thrones: The Card Game (Second Edition),2015,Command Westeros&#039; factions and plot your path to the Iron Throne.,6.811,7.5,5007
694,Bullet♥︎,2021,Space heroines defend Planet Earth in falling-block battles.,6.81,7.63,3581
695,Blood Bowl (2016 Edition),2016,Humans take on the Orcs in this tabletop reimagination of football.,6.808,7.97,2733
696,Golem,2021,Acquire knowledge and create powerful artefacts and Golems in 16th century Prague.,6.807,7.56,3905
697,Mare Nostrum: Empires,2016,Lead your ancient empire to the dominion of the Mediterranean Sea.,6.807,7.53,4203
698,Formula D,2008,Use custom dice to race in the cities and on Formula 1 courses.,6.806,6.99,19769
699,Betrayal at House on the Hill,2004,Explore a haunted house as a team ... until one of you turns against the rest.,6.806,7.02,46767
700,Photosynthesis,2017,"Trees compete for sunlight to grow taller, as the sun moves around the board.",6.806,6.97,24113
701,The Downfall of Pompeii,2004,Trouble strikes at the foot of Vesuvius. Creeping lava! Who will survive unscathed?,6.806,7.16,8411
702,Taluva,2006,Race to build temples and towers or tribal supremacy on an active volcanic island.,6.802,7.14,8768
703,Time's Up!,1999,Get your teammates to guess real &amp; fictional people while clues become more limited.,6.801,7.28,5942
704,Mosaic: A Story of Civilization,2022,"A card-drafting, engine-building civilization game.",6.801,7.55,3982
705,A Fake Artist Goes to New York,2011,"Everyone draws, but one of you doesn&#039;t know what they&#039;re drawing. Can you spot them?",6.8,7.14,8698
706,Yellow & Yangtze,2018,Keep your warring states in perfect balance through wars and revolts.,6.798,7.82,2752
707,Between Two Castles of Mad King Ludwig,2018,Help your 2 neighboring players build the wackiest—but highest scoring—castles.,6.797,7.24,6571
708,Telestrations: 12 Player Party Pack,2011,Let the hilarity begin as you try your best to draw and interpret sketches.,6.795,7.73,3079
709,Magic Maze,2017,Silently cooperate to rob a labyrinthine shopping mall before time runs out.,6.795,6.95,21836
710,Kingdom Builder,2011,Use special placement rules and variable scoring goals to build the best kingdom.,6.795,6.94,23647
711,Disney Villainous: Wicked to the Core,2019,"Evil has never looked so wicked with poison, voodoo, and titans galore.",6.795,7.53,4672
712,Three Sisters,2022,"Manage your backyard garden of corn, beans, and pumpkins.",6.794,7.58,3665
713,Lord of the Rings: The Confrontation,2002,A game of hidden identities: help Frodo destroy the ring or use Sauron to thwart him.,6.794,7.22,7034
714,Cacao,2015,Cultivate and trade the &#039;fruit of the gods&#039; and lead your tribe to prosperity.,6.793,7.08,11031
715,War of the Ring: The Card Game,2022,Take control of the Free Peoples or the Shadow Armies.,6.793,7.72,3404
716,Fort,2020,"Build the most awesome fort while making friends, collecting toys and eating pizza.",6.792,7.11,10190
717,Pax Renaissance,2016,Shrewd Renaissance bankers sway 15-16th Century European powers for personal gains.,6.792,7.98,2445
718,Star Wars: X-Wing Miniatures Game – The Force Awakens Core Set,2015,Description is not provided.,6.791,7.73,3157
719,First Rat,2022,Rats collect items for building a rocket to the cheese moon.,6.791,7.57,3544
720,Trains,2012,Buy the right mix of cards to build stations and lay tracks between Japanese cities.,6.79,7.13,8497
721,Elder Sign,2011,Roll dice to investigate the horrors of Arkham alone or as a group.,6.79,6.97,25443
722,One Night Ultimate Werewolf: Daybreak,2015,No ordinary game of Werewolf as now everyone has special roles. Werewolves beware!,6.789,7.3,6042
723,Bloodborne: The Board Game,2021,Fear the Old Blood! Solve mysteries and face monsters in a dark gothic world.,6.788,7.79,3667
724,Living Forest,2021,Use the powers of your animal guardians to protect the living forest.,6.788,7.26,6412
725,The Republic of Rome,1990,Politicians cooperate and compete over personal and Ancient Roman glory.,6.788,7.54,4221
726,Cribbage,1630,"Sum to 15, peg to 121 and score the crib in this classic and unique card game.",6.787,7.1,10228
727,Mr. Jack,2006,Narrow down the list of suspects so you can capture Mr. Jack. before he escapes.,6.786,6.97,18212
728,Trails of Tucana,2019,Flip &amp; write to create the most efficient network on the island of Tucana.,6.785,7.39,4619
729,Snowdonia,2012,Brave the elements as you build your railway up to the peak of Yr Wyddfa!,6.785,7.33,5017
730,Merv: The Heart of the Silk Road,2020,"Vie for power, favor and influence in the mighty ancient city of Merv.",6.784,7.51,3978
731,Knarr,2023,Assemble your Viking crew to explore new destinations in the world and trade!,6.784,7.5,3975
732,Chronicles of Crime: 1400,2020,"Use visions, listen to testimonies, and discover evidence to solve a crime.",6.782,7.72,3848
733,Civilization: A New Dawn,2017,"Build Wonders, expand across the map and develop your Empire.",6.781,7.26,6997
734,Unmatched Game System,2019,Legends of folklore and fiction go head to head in the greatest battle of all time.,6.781,8.24,2048
735,Beer & Bread,2022,Two villages face off in the traditions of brewing beer and baking bread.,6.779,7.45,4369
736,Brian Boru: High King of Ireland,2021,"Strive to unite Ireland, securing control through might, cunning, and matrimony!",6.779,7.51,3760
737,Summoner Wars,2009,Summon units of your faction to fight and bring down the opposing Summoner.,6.779,7.23,6655
738,Shakespeare,2015,"Dazzle the London crowds as you write, cast and stage your play in one glorious week.",6.778,7.41,4418
739,Verdant,2022,Collect and care for houseplants as you arrange the coziest home.,6.778,7.36,5111
740,Feudum,2018,"Control guilds, spread influence and feud with other nobles in this medieval sandbox.",6.775,7.59,3935
741,The Oracle of Delphi,2016,Navigate the Aegean as you race to complete 12 quests to impress Zeus.,6.775,7.3,5253
742,Churchill,2015,A political conflict of WW2 cooperation and competition.,6.774,7.67,3165
743,KeyForge: Call of the Archons,2018,Your deck is unique. Race to three keys to be the first to unlock the great Vaults!,6.774,7.1,11444
744,AuZtralia,2018,Explore and settle alternate-history 1930s Australia as Cthulhu awakes.,6.773,7.36,4885
745,Escape: The Curse of the Temple,2012,Run as fast as you can to return the cursed gems before the temple traps you forever.,6.773,6.96,17094
746,Railroad Ink Challenge: Lush Green Edition,2021,Build a network of roads and rails in a lush landscape.,6.773,7.63,3199
747,Disney Villainous: Evil Comes Prepared,2019,Be prepared as the most nefarious villains yet come for the throne.,6.773,7.52,4412
748,Unlock!: Timeless Adventures,2019,"Solve puzzles to escape from your old nemesis, find a stolen jewel, &amp; travel in time.",6.771,7.77,2706
749,Dominant Species: Marine,2021,Dominate your aquatic foes or you’ll be sleeping with the fishes.,6.771,7.94,2359
750,Torres,1999,Build towers and populate them with your knights to make it big in the Middle Ages.,6.77,7.09,9764
751,Sub Terra,2017,Escape a danger-filled cave &amp; evade horrors in a co-op challenge.,6.77,7.37,5493
752,Belfort,2011,"Compete with other architects to build the city using dwarves, elves and gnomes.",6.77,7.21,6397
753,The Adventures of Robin Hood,2021,Take on the role of Robin Hood in a cooperative game that changes while you play.,6.77,7.49,4143
754,Twilight Inscription,2022,Roll your way through the Twilight Imperium universe.,6.769,7.49,4083
755,The Magnificent,2019,Recruit magnificent performers to put on the most magnificent circus act ever seen!,6.769,7.51,3801
756,Cuba,2007,"In pre-revolution Cuba, produce and ship goods, and influence the Parliament to help.",6.768,7.12,8362
757,Mexica,2002,Build the old Aztec city of Tenochtitlan with flowing canals and beautiful temples.,6.766,7.25,5940
758,Ascension: Deckbuilding Game,2010,Forge your deck with mighty heroes and constructs to claim the most honor.,6.766,7.04,13604
759,D-Day at Omaha Beach,2009,Command the US landing forces that storm Omaha Beach on D-Day.,6.766,8.3,1913
760,High Frontier 4 All,2020,Use real rocket science in a race to industrialize the solar system.,6.765,8.43,1844
761,Treasure Island,2018,Race to find Long John Silver&#039;s buried gold by drawing his clues on a treasure map!,6.765,7.22,6446
762,Star Wars: The Clone Wars,2022,Use your Jedi powers to fight off the Separatist threat — Pandemic-style.,6.763,7.58,3699
763,Yamataï,2017,"Sail through this beautiful archipelago, build vast palaces, and hire specialists.",6.76,7.19,6724
764,Whistle Mountain,2020,Construct machines and collect resources from your new airships.,6.76,7.57,3367
765,Luna,2010,Impress the Moon Priestess by sending novices to Holy Isles surrounding the Temple.,6.76,7.29,5130
766,Dixit: Journey,2012,"Give a perfect clue to cause some, but not all, to guess your dreamlike card.",6.76,7.4,4609
767,Can't Stop,1980,Roll dice to claim three columns. Risk everything earned this turn with each roll.,6.759,6.92,18922
768,Tokaido,2012,"Travel the famed Tokaido road, visit hot springs, try new food, and paint landscapes.",6.758,6.92,26469
769,The Bloody Inn,2015,Rob and murder your inn&#039;s guests to make money...but don&#039;t forget to hide the bodies!,6.757,7.06,9694
770,Myrmes,2012,Your colony of ants lay pheromones to control the land while building your anthill!,6.756,7.26,5600
771,Oh My Goods!,2015,Risk it all in the markets and work hard to construct chains of production buildings.,6.755,7.0,12954
772,Exit: The Game – The Pharaoh's Tomb,2016,Work out hieroglyphs and clues before this ancient pyramid becomes your tomb.,6.755,7.15,6689
773,Ashes Reborn: Rise of the Phoenixborn,2015,Only one Phoenixborn may stand. Absorb the Ashes of the fallen and rise to power.,6.755,7.3,6153
774,Mille Fiori,2021,"Claim your share of workshops, trade shops, and patrons to score.",6.755,7.43,4065
775,Ticket to Ride: Rails & Sails,2016,"By land and by sea, connect valuable cities across the Great Lakes or even the world.",6.754,7.43,4692
776,Babylonia,2019,Compete for the land and cities between the rivers while commanding mighty ziggurats.,6.754,7.67,2879
777,Onirim (Second Edition),2014,"Find the doors, Dreamwalker! Escape sleep&#039;s labyrinth or remain trapped forever.",6.753,7.05,10523
